carry	leaf	alias	path	shape	dtype	nbytes	sha256_raw_c_order_bytes
carry_200000	0	env_state.pipeline_state.q	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='q'))	[3, 9]	float32	108	d753ee58962f0ab0ea737e08336c60cbeb788a4c008ee68ebc490aa0df7960dc
carry_200000	1	env_state.pipeline_state.qd	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='qd'))	[3, 9]	float32	108	7f2d356ae35280fb02ddf2d17ebb247b5ddc47a8e778e9f990f9f580d373bc61
carry_200000	2	env_state.pipeline_state.x.pos	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='x'), GetAttrKey(name='pos'))	[3, 7, 3]	float32	252	fece4dbc681632ed510bfab2a1f325a9b9b6315955c17506627889258bcdbeb1
carry_200000	3	env_state.pipeline_state.x.rot	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='x'), GetAttrKey(name='rot'))	[3, 7, 4]	float32	336	559408a3fe3c4fd827c3df1ff4d07a672f54513454aab904ac722580ea9a2ae9
carry_200000	4	env_state.pipeline_state.xd.ang	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='xd'), GetAttrKey(name='ang'))	[3, 7, 3]	float32	252	5c760f975fc635b7360eaca815aec153beb5766b34f30002c229674926c80338
carry_200000	5	env_state.pipeline_state.xd.vel	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='xd'), GetAttrKey(name='vel'))	[3, 7, 3]	float32	252	e64f7b2a3e79ccc5f5589009bd2eb16907366b224a8e157a576c9197d4bcff2f
carry_200000	6	env_state.pipeline_state.x_i.pos	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='x_i'), GetAttrKey(name='pos'))	[3, 7, 3]	float32	252	61a26fbf6bdbdc968a2e8465ae4126f852ce86ad74f1918852572473d113042f
carry_200000	7	env_state.pipeline_state.x_i.rot	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='x_i'), GetAttrKey(name='rot'))	[3, 7, 4]	float32	336	559408a3fe3c4fd827c3df1ff4d07a672f54513454aab904ac722580ea9a2ae9
carry_200000	8	env_state.pipeline_state.xd_i.ang	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='xd_i'), GetAttrKey(name='ang'))	[3, 7, 3]	float32	252	5c760f975fc635b7360eaca815aec153beb5766b34f30002c229674926c80338
carry_200000	9	env_state.pipeline_state.xd_i.vel	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='xd_i'), GetAttrKey(name='vel'))	[3, 7, 3]	float32	252	1cff1f153354951035998862700e4be351647001af58e3f22df8a905a2607688
carry_200000	10	env_state.pipeline_state.j.pos	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='j'), GetAttrKey(name='pos'))	[3, 7, 3]	float32	252	446b6a0c3a05d6b27cca4562149736df957e1a996c831bc07f9b73ee5949c395
carry_200000	11	env_state.pipeline_state.j.rot	(SequenceKey(idx=0), GetAttrKey(name='pipeline_state'), GetAttrKey(name='j'), GetAttrKey(name='rot'))	[3, 7, 4]	float32	336	9ada3222fa58f0d0589041422a8e564f92e1079973dde4e98114da53dfd2f28a
